tier,workload,baseline_policy,compare_policy,tail_mean_ttft_ms,harp_mean_ttft_ms,delta_mean_ttft_ms,delta_pct_mean_ttft_ms,tail_mean_tpot_ms,harp_mean_tpot_ms,delta_mean_tpot_ms,delta_pct_mean_tpot_ms,tail_mean_latency_ms,harp_mean_latency_ms,delta_mean_latency_ms,delta_pct_mean_latency_ms,tail_p99_ttft_ms,harp_p99_ttft_ms,delta_p99_ttft_ms,delta_pct_p99_ttft_ms,tail_p99_tpot_ms,harp_p99_tpot_ms,delta_p99_tpot_ms,delta_pct_p99_tpot_ms,tail_tier_transition_mb_total,harp_tier_transition_mb_total,delta_tier_transition_mb_total,delta_pct_tier_transition_mb_total,largest_kv_mean_ttft_ms,largest_kv_mean_tpot_ms,largest_kv_mean_latency_ms,largest_kv_p99_ttft_ms,largest_kv_p99_tpot_ms,largest_kv_tier_transition_mb_total,lru_mean_ttft_ms,lru_mean_tpot_ms,lru_mean_latency_ms,lru_p99_ttft_ms,lru_p99_tpot_ms,lru_tier_transition_mb_total,oldest_mean_ttft_ms,oldest_mean_tpot_ms,oldest_mean_latency_ms,oldest_p99_ttft_ms,oldest_p99_tpot_ms,oldest_tier_transition_mb_total,random_mean_ttft_ms,random_mean_tpot_ms,random_mean_latency_ms,random_p99_ttft_ms,random_p99_tpot_ms,random_tier_transition_mb_total,smallest_kv_mean_ttft_ms,smallest_kv_mean_tpot_ms,smallest_kv_mean_latency_ms,smallest_kv_p99_ttft_ms,smallest_kv_p99_tpot_ms,smallest_kv_tier_transition_mb_total
cpu_dram,sharegpt_1000,tail,harp,234032.535926506,115778.86596054099,-118253.66996596502,-50.52873075865853,57.033377740999995,46.010116089,-11.023261651999995,-19.327737701348912,247099.477662122,127609.37187835299,-119490.105783769,-48.35708554072986,494632.43515181,245684.90569729998,-248947.52945451002,-50.32980285211267,175.61788601999993,93.30769880999996,-82.31018720999997,-46.868909013416896,43704.0,45946.0,2242.0,5.129965220574776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_dram,sharegpt_1000,tail,largest_kv,234032.535926506,,58732.58904970999,25.095907634036823,57.033377740999995,,20.09225065800001,35.22893339623501,247099.477662122,,63558.46881608997,25.721814314394592,494632.43515181,,158779.05362681992,32.100412820297215,175.61788601999993,,131.33863193000005,74.78659201890335,43704.0,,94064.0,215.2297272560864,292765.124976216,77.12562839900001,310657.94647821196,653411.4887786299,306.95651795,137768.0,,,,,,,,,,,,,,,,,,,,,,,,
cpu_dram,sharegpt_1000,tail,lru,234032.535926506,,98594.88925424396,42.12871037948588,57.033377740999995,,26.21355181300001,45.96177335321258,247099.477662122,,104353.53751910903,42.2313873369654,494632.43515181,,198600.38180444,40.15110366619743,175.61788601999993,,171.46782613999991,97.63688085874841,43704.0,,5140.0,11.76093721398499,,,,,,,332627.42518074997,83.246929554,351453.015181231,693232.81695625,347.08571215999984,48844.0,,,,,,,,,,,,,,,,,,
cpu_dram,sharegpt_1000,tail,oldest,234032.535926506,,589159.7986689738,251.7426888259629,57.033377740999995,,174.135579082,305.3222270523492,247099.477662122,,628554.716254111,254.37314647568053,494632.43515181,,1367415.8800654898,276.450912412529,175.61788601999993,,981.8116452599999,559.0613049220898,43704.0,,67492.0,154.42980047592897,,,,,,,,,,,,,823192.3345954799,231.168956823,875654.193916233,1862048.3152172999,1157.4295312799998,111196.0,,,,,,,,,,,,
cpu_dram,sharegpt_1000,tail,random,234032.535926506,,58672.53958309998,25.070249036452395,57.033377740999995,,26.886444786,47.141596466715924,247099.477662122,,63397.52389437897,25.656680659223106,494632.43515181,,147163.12911587994,29.75201759074158,175.61788601999993,,211.87318223999986,120.6444212725981,43704.0,,7252.0,16.593446824089327,,,,,,,,,,,,,,,,,,,292705.075509606,83.919822527,310497.00155650097,641795.56426769,387.4910682599998,50956.0,,,,,,
cpu_dram,sharegpt_1000,tail,smallest_kv,234032.535926506,,90855.49882296394,38.821738380639346,57.033377740999995,,30.599903115000004,53.65262294995099,247099.477662122,,97886.64555825299,39.614266482627244,494632.43515181,,203664.32866943994,41.1748834479349,175.61788601999993,,156.13519114999994,88.90620123523111,43704.0,,-20224.0,-46.274940508877904,,,,,,,,,,,,,,,,,,,,,,,,,324888.03474946995,87.633280856,344986.123220375,698296.76382125,331.75307716999987,23480.0
cpu_dram,sharegpt_1500,tail,harp,367653.18281141535,182194.187682334,-185458.99512908133,-50.444006416833055,52.499906843999995,45.74433457666667,-6.755572267333328,-12.867779532270532,379975.15956049867,194016.465872316,-185958.69368818266,-48.93969750635102,783796.57333303,388873.09664003004,-394923.47669299995,-50.38596622253917,164.64397628999998,99.16735145999996,-65.47662483000002,-39.76861243600619,67684.0,76174.0,8490.0,12.54358489450978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_dram,sharegpt_1500,tail,largest_kv,367653.18281141535,,116521.8592125093,31.693417780712707,52.499906843999995,,23.31216151800001,44.404195967948205,379975.15956049867,,121840.45967811195,32.06537496267906,783796.57333303,,304242.81415847,38.81655323711134,164.64397628999998,,125.51881318999997,76.23650498388967,67684.0,,159944.0,236.3099107617753,484175.04202392465,75.812068362,501815.6192386106,1088039.3874915,290.16278947999996,227628.0,,,,,,,,,,,,,,,,,,,,,,,,
cpu_dram,sharegpt_1500,tail,lru,367653.18281141535,,144601.00172726798,39.33081732667601,52.499906843999995,,24.87827056200001,47.38726610682215,379975.15956049867,,149980.51817477064,39.47113762600871,783796.57333303,,310721.28496029985,39.643103265810836,164.64397628999998,,151.99504315999988,92.31740303227336,67684.0,,6788.0,10.02895809940311,,,,,,,512254.18453868333,77.378177406,529955.6777352693,1094517.8582933298,316.63901944999986,74472.0,,,,,,,,,,,,,,,,,,
cpu_dram,sharegpt_1500,tail,oldest,367653.18281141535,,986172.8635151153,268.23455082693096,52.499906843999995,,163.47427827266665,311.3801301751252,379975.15956049867,,1023010.8960770314,269.2309932207951,783796.57333303,,2160233.39295339,275.61148727241516,164.64397628999998,,877.0991648999998,532.7247219510164,67684.0,,113504.0,167.69694462502216,,,,,,,,,,,,,1353826.0463265306,215.97418511666666,1402986.05563753,2944029.96628642,1041.7431411899997,181188.0,,,,,,,,,,,,
cpu_dram,sharegpt_1500,tail,random,367653.18281141535,,133891.9863522933,36.41801366397311,52.499906843999995,,23.312042373333327,44.40396902532326,379975.15956049867,,138850.426447374,36.541974640651894,783796.57333303,,285995.67478240014,36.48850792575263,164.64397628999998,,144.86298212999995,87.98559497545281,67684.0,,17564.0,25.9500029549081,,,,,,,,,,,,,,,,,,,501545.16916370863,75.81194921733332,518825.58600787265,1069792.2481154301,309.50695841999993,85248.0,,,,,,
cpu_dram,sharegpt_1500,tail,smallest_kv,367653.18281141535,,147049.27966547263,39.99673783346528,52.499906843999995,,28.73950244866667,54.7420065602482,379975.15956049867,,153466.15819922532,40.38847128236835,783796.57333303,,316469.9230709999,40.37653822920376,164.64397628999998,,157.17041128999998,95.46077228672111,67684.0,,-31040.0,-45.86017374859642,,,,,,,,,,,,,,,,,,,,,,,,,514702.462476888,81.23940929266666,533441.317759724,1100266.49640403,321.81438757999996,36644.0
cpu_dram,sharegpt_750,tail,harp,170141.10580654,85376.12627450132,-84764.97953203868,-49.820400032206926,58.226902591999995,44.741360008,-13.485542583999994,-23.160329647781783,183002.29084941067,96615.94754738132,-86386.34330202935,-47.20506115036294,355310.94651661,173922.32088445002,-181388.62563215996,-51.05067192847672,174.44356135999988,94.48118930999996,-79.96237204999991,-45.83853449596872,29872.0,33106.0,3234.0,10.826191751472951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_dram,sharegpt_750,tail,largest_kv,170141.10580654,,33696.61725162933,19.805100649777295,58.226902591999995,,16.216583846666673,27.850672326325544,183002.29084941067,,37753.50572241066,20.630072742355637,355310.94651661,,103045.31434572994,29.001446579668723,174.44356135999988,,133.2167540900001,76.3666787420604,29872.0,,68996.0,230.9721478307445,203837.72305816933,74.44348643866667,220755.79657182132,458356.2608623399,307.66031545,98868.0,,,,,,,,,,,,,,,,,,,,,,,,
cpu_dram,sharegpt_750,tail,lru,170141.10580654,,74579.39418119733,43.83384828002605,58.226902591999995,,25.630296547999997,44.01796318721139,183002.29084941067,,80036.79211734401,43.73540448365472,355310.94651661,,141150.74011215003,39.725975654834365,174.44356135999988,,212.16014573999968,121.62108138927749,29872.0,,4648.0,15.559721478307445,,,,,,,244720.49998773733,83.85719913999999,263039.0829667547,496461.68662876,386.60370709999955,34520.0,,,,,,,,,,,,,,,,,,
cpu_dram,sharegpt_750,tail,oldest,170141.10580654,,398181.7456647679,234.0303031282299,58.226902591999995,,153.03019078533333,262.81698660433074,183002.29084941067,,433031.35113921855,236.62619146967526,355310.94651661,,925311.55266893,260.42303558065976,174.44356135999988,,628.5731442199999,360.3303781002332,29872.0,,45588.0,152.6111408677022,,,,,,,,,,,,,568322.8514713079,211.25709337733332,616033.6419886292,1280622.49918554,803.0167055799998,75460.0,,,,,,,,,,,,
cpu_dram,sharegpt_750,tail,random,170141.10580654,,67678.798186328,39.77804062428194,58.226902591999995,,32.57623153066667,55.947045232563056,183002.29084941067,,74486.80347675731,40.702661770530064,355310.94651661,,163081.18163459003,45.898158566011524,174.44356135999988,,189.4204514700001,108.58552186921497,29872.0,,8352.0,27.959292983395823,,,,,,,,,,,,,,,,,,,237819.903992868,90.80313412266666,257489.09432616798,518392.1281512,363.86401283,38224.0,,,,,,
cpu_dram,sharegpt_750,tail,smallest_kv,170141.10580654,,63539.01146418933,37.3448915610298,58.226902591999995,,26.194291213333337,44.98657844961904,183002.29084941067,,69698.31686977332,38.08603517817535,355310.94651661,,138371.67049807997,38.94382423470069,174.44356135999988,,144.17491116000002,82.64845663318332,29872.0,,-13764.0,-46.076593465452596,,,,,,,,,,,,,,,,,,,,,,,,,233680.11727072933,84.42119380533333,252700.607719184,493682.61701468995,318.6184725199999,16108.0
