variant,slots,policy,hit_tokens,miss_tokens,hit_rate,mean_ttft_ms,p99_ttft_ms,evictions
0,2,lru,5120,2304,0.6896551724137931,34.339883,54.220381759999995,7
0,2,gdfs,5120,2304,0.6896551724137931,34.31581348275862,54.12961108,7
0,2,wa_kv,4608,2816,0.6206896551724138,36.141178448275866,54.15511772,9
0,2,reuse_value,4608,2816,0.6206896551724138,36.141178448275866,54.15511772,9
0,2,oracle_next_use,5632,1792,0.7586206896551724,32.253165206896554,53.9316826,5
0,3,lru,5888,1536,0.7931034482758621,31.200835068965517,53.91125664,3
0,3,gdfs,6144,1280,0.8275862068965517,30.424118310344827,53.98515168,2
0,3,wa_kv,6400,1024,0.8620689655172413,29.50382251724138,53.577046,1
0,3,reuse_value,6400,1024,0.8620689655172413,29.50382251724138,53.577046,1
0,3,oracle_next_use,6400,1024,0.8620689655172413,29.50382251724138,53.577046,1
0,4,lru,6400,1024,0.8620689655172413,29.41565493103448,53.48499904,0
0,4,gdfs,6400,1024,0.8620689655172413,29.41565493103448,53.48499904,0
0,4,wa_kv,6400,1024,0.8620689655172413,29.41565493103448,53.48499904,0
0,4,reuse_value,6400,1024,0.8620689655172413,29.41565493103448,53.48499904,0
0,4,oracle_next_use,6400,1024,0.8620689655172413,29.41565493103448,53.48499904,0
0,6,lru,6400,1024,0.8620689655172413,29.41565493103448,53.48499904,0
0,6,gdfs,6400,1024,0.8620689655172413,29.41565493103448,53.48499904,0
0,6,wa_kv,6400,1024,0.8620689655172413,29.41565493103448,53.48499904,0
0,6,reuse_value,6400,1024,0.8620689655172413,29.41565493103448,53.48499904,0
0,6,oracle_next_use,6400,1024,0.8620689655172413,29.41565493103448,53.48499904,0
1,2,lru,5120,2304,0.6896551724137931,34.3134234137931,54.211144880000006,7
1,2,gdfs,5376,2048,0.7241379310344828,33.25879831034483,53.978472880000005,6
1,2,wa_kv,5632,1792,0.7586206896551724,32.197003,53.92244572,5
1,2,reuse_value,5632,1792,0.7586206896551724,32.197003,53.92244572,5
1,2,oracle_next_use,5888,1536,0.7931034482758621,31.115918310344828,53.95015636,4
1,3,lru,6144,1280,0.8275862068965517,30.424118310344827,53.98515168,2
1,3,gdfs,6144,1280,0.8275862068965517,30.424118310344827,53.98515168,2
1,3,wa_kv,6144,1280,0.8275862068965517,30.424118310344827,53.98515168,2
1,3,reuse_value,6144,1280,0.8275862068965517,30.424118310344827,53.98515168,2
1,3,oracle_next_use,6400,1024,0.8620689655172413,29.50382251724138,53.577046,1
1,4,lru,6400,1024,0.8620689655172413,29.41565493103448,53.48499904,0
1,4,gdfs,6400,1024,0.8620689655172413,29.41565493103448,53.48499904,0
1,4,wa_kv,6400,1024,0.8620689655172413,29.41565493103448,53.48499904,0
1,4,reuse_value,6400,1024,0.8620689655172413,29.41565493103448,53.48499904,0
1,4,oracle_next_use,6400,1024,0.8620689655172413,29.41565493103448,53.48499904,0
1,6,lru,6400,1024,0.8620689655172413,29.41565493103448,53.48499904,0
1,6,gdfs,6400,1024,0.8620689655172413,29.41565493103448,53.48499904,0
1,6,wa_kv,6400,1024,0.8620689655172413,29.41565493103448,53.48499904,0
1,6,reuse_value,6400,1024,0.8620689655172413,29.41565493103448,53.48499904,0
1,6,oracle_next_use,6400,1024,0.8620689655172413,29.41565493103448,53.48499904,0
2,2,lru,4608,2816,0.6206896551724138,36.154834724137935,54.142288719999996,9
2,2,gdfs,4608,2816,0.6206896551724138,36.154834724137935,54.142288719999996,9
2,2,wa_kv,5376,2048,0.7241379310344828,33.35507637931034,54.167946719999996,6
2,2,reuse_value,5376,2048,0.7241379310344828,33.35507637931034,54.167946719999996,6
2,2,oracle_next_use,5632,1792,0.7586206896551724,32.21304934482758,53.9188536,5
2,3,lru,6144,1280,0.8275862068965517,30.427624620689656,53.98515168,2
2,3,gdfs,6144,1280,0.8275862068965517,30.427624620689656,53.98515168,2
2,3,wa_kv,6400,1024,0.8620689655172413,29.507328827586207,53.57345388,1
2,3,reuse_value,6400,1024,0.8620689655172413,29.507328827586207,53.57345388,1
2,3,oracle_next_use,6400,1024,0.8620689655172413,29.507328827586207,53.57345388,1
2,4,lru,6400,1024,0.8620689655172413,29.41916124137931,53.481406920000005,0
2,4,gdfs,6400,1024,0.8620689655172413,29.41916124137931,53.481406920000005,0
2,4,wa_kv,6400,1024,0.8620689655172413,29.41916124137931,53.481406920000005,0
2,4,reuse_value,6400,1024,0.8620689655172413,29.41916124137931,53.481406920000005,0
2,4,oracle_next_use,6400,1024,0.8620689655172413,29.41916124137931,53.481406920000005,0
2,6,lru,6400,1024,0.8620689655172413,29.41916124137931,53.481406920000005,0
2,6,gdfs,6400,1024,0.8620689655172413,29.41916124137931,53.481406920000005,0
2,6,wa_kv,6400,1024,0.8620689655172413,29.41916124137931,53.481406920000005,0
2,6,reuse_value,6400,1024,0.8620689655172413,29.41916124137931,53.481406920000005,0
2,6,oracle_next_use,6400,1024,0.8620689655172413,29.41916124137931,53.481406920000005,0
