slots,policy,hit_rate_mean,hit_rate_std,miss_tokens_mean,mean_ttft_ms_mean,mean_ttft_ms_std,evictions_mean
2,gdfs,0.6781609195402298,0.05267328385006709,2389.3333333333335,34.5764821724138,1.4655094171750698,7.333333333333333
2,lru,0.6666666666666666,0.03981725994411215,2474.6666666666665,34.93604704597701,1.0555839998565857,7.666666666666667
2,oracle_next_use,0.7701149425287356,0.019908629972056092,1706.6666666666667,31.860710954022988,0.6453211465272237,4.666666666666667
2,reuse_value,0.7011494252873564,0.07178158618848728,2218.6666666666665,33.8977526091954,2.0273142601869147,6.666666666666667
2,wa_kv,0.7011494252873564,0.07178158618848728,2218.6666666666665,33.8977526091954,2.0273142601869147,6.666666666666667
3,gdfs,0.8275862068965517,0.0,1280.0,30.42528708045977,0.002024369221448726,2.0
3,lru,0.8160919540229884,0.019908629972056068,1365.3333333333333,30.684192666666664,0.44742887975956885,2.3333333333333335
3,oracle_next_use,0.8620689655172414,0.0,1024.0,29.504991287356322,0.0020243692214477007,1.0
3,reuse_value,0.8505747126436781,0.019908629972056054,1109.3333333333333,29.81175655172414,0.5303237370878522,1.3333333333333333
3,wa_kv,0.8505747126436781,0.019908629972056054,1109.3333333333333,29.81175655172414,0.5303237370878522,1.3333333333333333
4,gdfs,0.8620689655172414,0.0,1024.0,29.416823701149426,0.002024369221448726,0.0
4,lru,0.8620689655172414,0.0,1024.0,29.416823701149426,0.002024369221448726,0.0
4,oracle_next_use,0.8620689655172414,0.0,1024.0,29.416823701149426,0.002024369221448726,0.0
4,reuse_value,0.8620689655172414,0.0,1024.0,29.416823701149426,0.002024369221448726,0.0
4,wa_kv,0.8620689655172414,0.0,1024.0,29.416823701149426,0.002024369221448726,0.0
6,gdfs,0.8620689655172414,0.0,1024.0,29.416823701149426,0.002024369221448726,0.0
6,lru,0.8620689655172414,0.0,1024.0,29.416823701149426,0.002024369221448726,0.0
6,oracle_next_use,0.8620689655172414,0.0,1024.0,29.416823701149426,0.002024369221448726,0.0
6,reuse_value,0.8620689655172414,0.0,1024.0,29.416823701149426,0.002024369221448726,0.0
6,wa_kv,0.8620689655172414,0.0,1024.0,29.416823701149426,0.002024369221448726,0.0
