dataset,capacity_pct,policy,throughput_tok_s_mean,throughput_tok_s_std,mean_latency_s_mean,mean_latency_s_std,p99_latency_s_mean,p99_latency_s_std,spills_mean,spills_std,movement_gib_mean,movement_gib_std,capacity_blocked_unique_mean,capacity_blocked_unique_std,capacity_block_wait_request_s_mean,capacity_block_wait_request_s_std,policy_deferred_unique_mean,policy_deferred_unique_std,policy_wait_request_s_mean,policy_wait_request_s_std,average_batch_size_mean,average_batch_size_std,average_decode_batch_size_mean,average_decode_batch_size_std,mean_active_decode_requests_mean,mean_active_decode_requests_std,mean_eligible_queue_requests_mean,mean_eligible_queue_requests_std
sharegpt1000,70,lru,2789.91,82.42553548506665,56.68637993661633,4.099469755388959,95.08116339966666,7.946503177680358,109.0,15.716233645501712,4.9921875,0.578273444835532,825.6666666666666,19.655363983740756,43032.206885541,4154.349950968994,0.0,0.0,0.0,0.0,70.38725050076835,3.015510365694305,70.13552043538975,3.004725818548264,173.32694887272353,10.60510193647673,242.30141713704518,17.467044704752983
sharegpt1000,70,reserve_lru,3954.66,92.66437233370766,24.953988906734,0.9617240915346938,102.63713570966667,5.470097998297787,261.6666666666667,59.70203793283219,18.423828125,3.1786849857331556,0.0,0.0,0.0,0.0,226.0,42.0,5788.426877019,1413.2612047474938,122.03716957322763,5.155298548727721,121.600720863316,5.136861351202818,199.14866266195136,3.7668093063380184,46.37549301515953,10.294414632974064
sharegpt1000,85,lru,3338.2233333333334,142.75398079680082,38.032689862705666,2.180766650011177,78.29508336633333,0.6143476316896007,62.0,10.14889156509222,3.0436197916666665,0.7803078629113153,739.6666666666666,52.16640042530569,21801.009639349333,2768.37331410736,0.0,0.0,0.0,0.0,92.31378186613175,6.201264728882671,91.98363465652804,6.179086780965603,189.3866502314115,5.878683417421934,148.48295875939664,11.040996040761849
sharegpt1000,85,reserve_lru,4109.49,67.22043736840754,21.195805337681332,0.15433996645652337,80.93099836433333,4.089681699150752,126.66666666666667,60.61627944152737,10.21875,4.476033710451655,0.0,0.0,0.0,0.0,114.33333333333333,53.15386470740706,1188.7139236886667,452.76517288448105,130.28080297607463,3.571565466282576,129.8148720749893,3.558792266563381,175.8646925326124,3.8890184701661665,10.000049359164016,3.9382222547529544
sharegpt1000,120,lru,4109.49,67.22043736840754,20.273623664758,0.3072659588431181,64.99267510133333,1.234831401554842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.28080297607463,3.571565466282576,129.8148720749893,3.558792266563381,168.13252625529702,3.003746156317108,0.004219409282700422,0.007308231255564883
sharegpt1000,120,reserve_lru,4109.49,67.22043736840754,20.273623664758,0.3072659588431181,64.99267510133333,1.234831401554842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.28080297607463,3.571565466282576,129.8148720749893,3.558792266563381,168.13252625529702,3.003746156317108,0.004219409282700422,0.007308231255564883
fixed512,70,lru,1936.0333333333333,138.2157752694435,109.26523183563997,9.20973065998778,133.64958763966666,11.218781135803223,0.3333333333333333,0.5773502691896258,0.014322916666666666,0.024808019379241732,498.0,11.269427669584644,43192.08678154267,5749.803822577322,0.0,0.0,0.0,0.0,70.57578387064967,7.308418626712918,70.43794054277731,7.29414437158262,292.97502054519686,12.026117128837294,254.35362744369993,14.11415155032365
fixed512,70,reserve_lru,3368.65,69.40903183304022,64.92031168521224,2.786946698736969,94.59968987266667,3.354612019122532,317.3333333333333,24.090108620206205,21.040364583333332,0.8662925891030674,0.0,0.0,0.0,0.0,317.3333333333333,24.090108620206205,11560.303188793667,2160.6467450358205,193.81749616990055,9.983720885731385,193.4389463726937,9.964221430876437,341.32769751535454,7.54310047970571,118.83210322445561,19.533065518988902
fixed512,85,lru,2612.063333333333,415.1294123924891,78.71667565958268,16.28538367199669,96.867027047,19.34229881630908,0.0,0.0,0.0,0.0,469.6666666666667,26.689573494781317,24640.768181973668,10208.759437340708,0.0,0.0,0.0,0.0,115.68631929446121,29.964497443613716,115.46036945208922,29.905973034544154,307.4951857538492,2.8370515162371572,186.00675927928071,41.69415812140811
fixed512,85,reserve_lru,3494.13,32.47595264191645,57.54233371159245,5.5025579979337875,85.17956846166668,6.4431415279208535,239.33333333333334,62.083277404896506,17.109375,3.983432793007339,0.0,0.0,0.0,0.0,239.33333333333334,62.083277404896506,6780.849355837667,3101.5156597199066,210.48132523939736,3.382755097446248,210.07022890103917,3.3761481538965623,314.15070831199864,27.24877527145254,72.41329578426352,32.42632690575401
fixed512,120,lru,3512.88,0.0,44.89871939500521,0.09479513032760595,48.94583199833333,0.019779492914285282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.43435980551052,0.0,212.0194489465154,0.0,246.31182795698925,0.4593550400708314,0.0,0.0
fixed512,120,reserve_lru,3512.88,0.0,44.89871939500521,0.09479513032760595,48.94583199833333,0.019779492914285282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.43435980551052,0.0,212.0194489465154,0.0,246.31182795698925,0.4593550400708314,0.0,0.0
