prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,256,32,64,15.126
0,256,32,128,15.161
0,256,32,256,15.23
0,256,32,512,15.278
0,256,32,1024,15.486
0,256,32,2048,17.012
0,256,64,0,3.22
0,256,64,64,24.869
0,256,64,128,27.546
0,256,64,256,27.561
0,256,64,512,27.563
0,256,64,1024,27.723
0,256,64,2048,27.98
0,256,128,0,3.208
0,256,128,64,3.205
0,256,128,128,50.403
0,256,128,256,50.385
0,256,128,512,50.313
0,256,128,1024,50.336
0,256,128,2048,50.691
0,256,256,0,3.31
0,256,256,64,3.304
0,256,256,128,3.323
0,256,256,256,94.518
0,256,256,512,95.857
0,256,256,1024,96.077
0,256,256,2048,96.273
0,512,1,0,6.629
0,512,1,64,6.653
0,512,1,128,8.546
0,512,1,256,12.615
0,512,1,512,21.027
0,512,1,1024,37.683
0,512,1,2048,70.279
0,512,2,0,6.405
0,512,2,64,6.429
0,512,2,128,7.02
0,512,2,256,9.542
0,512,2,512,13.478
0,512,2,1024,21.624
0,512,2,2048,38.281
0,512,4,0,6.467
0,512,4,64,6.467
0,512,4,128,6.472
0,512,4,256,7.028
0,512,4,512,9.513
0,512,4,1024,13.502
0,512,4,2048,21.836
0,512,8,0,6.664
0,512,8,64,6.664
0,512,8,128,6.688
0,512,8,256,6.728
0,512,8,512,7.571
0,512,8,1024,9.589
0,512,8,2048,14.238
0,512,16,0,8.648
0,512,16,64,8.65
0,512,16,128,8.686
0,512,16,256,8.804
0,512,16,512,8.964
0,512,16,1024,9.475
0,512,16,2048,13.747
0,512,32,0,13.627
0,512,32,64,15.126
0,512,32,128,15.161
0,512,32,256,15.23
0,512,32,512,15.278
0,512,32,1024,15.486
0,512,32,2048,17.012
0,512,64,0,3.22
0,512,64,64,24.869
0,512,64,128,27.546
0,512,64,256,27.561
0,512,64,512,27.563
0,512,64,1024,27.723
0,512,64,2048,27.98
0,512,128,0,3.208
0,512,128,64,3.205
0,512,128,128,50.403
0,512,128,256,50.385
0,512,128,512,50.313
0,512,128,1024,50.336
0,512,128,2048,50.691
0,512,256,0,3.31
0,512,256,64,3.304
0,512,256,128,3.323
0,512,256,256,94.518
0,512,256,512,95.857
0,512,256,1024,96.077
0,512,256,2048,96.273
0,1024,1,0,6.629
0,1024,1,64,6.653
0,1024,1,128,8.546
0,1024,1,256,12.615
0,1024,1,512,21.027
0,1024,1,1024,37.683
0,1024,1,2048,70.279
0,1024,2,0,6.405
0,1024,2,64,6.429
0,1024,2,128,7.02
0,1024,2,256,9.542
0,1024,2,512,13.478
0,1024,2,1024,21.624
0,1024,2,2048,38.281
0,1024,4,0,6.467
0,1024,4,64,6.467
0,1024,4,128,6.472
0,1024,4,256,7.028
0,1024,4,512,9.513
0,1024,4,1024,13.502
0,1024,4,2048,21.836
0,1024,8,0,6.664
0,1024,8,64,6.664
0,1024,8,128,6.688
0,1024,8,256,6.728
0,1024,8,512,7.571
0,1024,8,1024,9.589
0,1024,8,2048,14.238
0,1024,16,0,8.648
0,1024,16,64,8.65
0,1024,16,128,8.686
0,1024,16,256,8.804
0,1024,16,512,8.964
0,1024,16,1024,9.475
0,1024,16,2048,13.747
0,1024,32,0,13.627
0,1024,32,64,15.126
0,1024,32,128,15.161
0,1024,32,256,15.23
0,1024,32,512,15.278
0,1024,32,1024,15.486
0,1024,32,2048,17.012
0,1024,64,0,3.22
0,1024,64,64,24.869
0,1024,64,128,27.546
0,1024,64,256,27.561
0,1024,64,512,27.563
0,1024,64,1024,27.723
0,1024,64,2048,27.98
0,1024,128,0,3.208
0,1024,128,64,3.205
0,1024,128,128,50.403
0,1024,128,256,50.385
0,1024,128,512,50.313
