prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,256,32,64,9.716
0,256,32,128,9.739
0,256,32,256,9.784
0,256,32,512,9.814
0,256,32,1024,9.948
0,256,32,2048,10.928
0,256,64,0,2.068
0,256,64,64,15.975
0,256,64,128,17.694
0,256,64,256,17.705
0,256,64,512,17.705
0,256,64,1024,17.809
0,256,64,2048,17.974
0,256,128,0,2.06
0,256,128,64,2.059
0,256,128,128,32.377
0,256,128,256,32.365
0,256,128,512,32.319
0,256,128,1024,32.334
0,256,128,2048,32.563
0,256,256,0,2.126
0,256,256,64,2.122
0,256,256,128,2.135
0,256,256,256,60.716
0,256,256,512,61.575
0,256,256,1024,61.717
0,256,256,2048,61.843
0,512,1,0,4.259
0,512,1,64,4.273
0,512,1,128,5.49
0,512,1,256,8.103
0,512,1,512,13.507
0,512,1,1024,24.207
0,512,1,2048,45.145
0,512,2,0,4.115
0,512,2,64,4.129
0,512,2,128,4.51
0,512,2,256,6.13
0,512,2,512,8.658
0,512,2,1024,13.89
0,512,2,2048,24.591
0,512,4,0,4.155
0,512,4,64,4.155
0,512,4,128,4.158
0,512,4,256,4.514
0,512,4,512,6.111
0,512,4,1024,8.674
0,512,4,2048,14.026
0,512,8,0,4.28
0,512,8,64,4.28
0,512,8,128,4.296
0,512,8,256,4.322
0,512,8,512,4.863
0,512,8,1024,6.159
0,512,8,2048,9.146
0,512,16,0,5.556
0,512,16,64,5.556
0,512,16,128,5.58
0,512,16,256,5.656
0,512,16,512,5.758
0,512,16,1024,6.087
0,512,16,2048,8.831
0,512,32,0,8.753
0,512,32,64,9.716
0,512,32,128,9.739
0,512,32,256,9.784
0,512,32,512,9.814
0,512,32,1024,9.948
0,512,32,2048,10.928
0,512,64,0,2.068
0,512,64,64,15.975
0,512,64,128,17.694
0,512,64,256,17.705
0,512,64,512,17.705
0,512,64,1024,17.809
0,512,64,2048,17.974
0,512,128,0,2.06
0,512,128,64,2.059
0,512,128,128,32.377
0,512,128,256,32.365
0,512,128,512,32.319
0,512,128,1024,32.334
0,512,128,2048,32.563
0,512,256,0,2.126
0,512,256,64,2.122
0,512,256,128,2.135
0,512,256,256,60.716
0,512,256,512,61.575
0,512,256,1024,61.717
0,512,256,2048,61.843
0,1024,1,0,4.259
0,1024,1,64,4.273
0,1024,1,128,5.49
0,1024,1,256,8.103
0,1024,1,512,13.507
0,1024,1,1024,24.207
0,1024,1,2048,45.145
0,1024,2,0,4.115
0,1024,2,64,4.129
0,1024,2,128,4.51
0,1024,2,256,6.13
0,1024,2,512,8.658
0,1024,2,1024,13.89
0,1024,2,2048,24.591
0,1024,4,0,4.155
0,1024,4,64,4.155
0,1024,4,128,4.158
0,1024,4,256,4.514
0,1024,4,512,6.111
0,1024,4,1024,8.674
0,1024,4,2048,14.026
0,1024,8,0,4.28
0,1024,8,64,4.28
0,1024,8,128,4.296
0,1024,8,256,4.322
0,1024,8,512,4.863
0,1024,8,1024,6.159
0,1024,8,2048,9.146
0,1024,16,0,5.556
0,1024,16,64,5.556
0,1024,16,128,5.58
0,1024,16,256,5.656
0,1024,16,512,5.758
0,1024,16,1024,6.087
0,1024,16,2048,8.831
0,1024,32,0,8.753
0,1024,32,64,9.716
0,1024,32,128,9.739
0,1024,32,256,9.784
0,1024,32,512,9.814
0,1024,32,1024,9.948
0,1024,32,2048,10.928
0,1024,64,0,2.068
0,1024,64,64,15.975
0,1024,64,128,17.694
0,1024,64,256,17.705
0,1024,64,512,17.705
0,1024,64,1024,17.809
0,1024,64,2048,17.974
0,1024,128,0,2.06
0,1024,128,64,2.059
0,1024,128,128,32.377
0,1024,128,256,32.365
0,1024,128,512,32.319
0,1024,128,1024,32.334
0,1024,128,2048,32.563
0,1024,256,0,2.126
0,1024,256,64,2.122
0,1024,256,128,2.135
0,1024,256,256,60.716
0,1024,256,512,61.575
0,1024,256,1024,61.717
0,1024,256,2048,61.843
0,2048,1,0,4.259
0,2048,1,64,4.273
0,2048,1,128,5.49
0,2048,1,256,8.103
0,2048,1,512,13.507
0,2048,1,1024,24.207
0,2048,1,2048,45.145
0,2048,2,0,4.115
0,2048,2,64,4.129
0,2048,2,128,4.51
0,2048,2,256,6.13
0,2048,2,512,8.658
0,2048,2,1024,13.89
0,2048,2,2048,24.591
0,2048,4,0,4.155
0,2048,4,64,4.155
0,2048,4,128,4.158
0,2048,4,256,4.514
0,2048,4,512,6.111
0,2048,4,1024,8.674
0,2048,4,2048,14.026
0,2048,8,0,4.28
0,2048,8,64,4.28
0,2048,8,128,4.296
0,2048,8,256,4.322
0,2048,8,512,4.863
0,2048,8,1024,6.159
0,2048,8,2048,9.146
0,2048,16,0,5.556
0,2048,16,64,5.556
0,2048,16,128,5.58
0,2048,16,256,5.656
0,2048,16,512,5.758
0,2048,16,1024,6.087
0,2048,16,2048,8.831
0,2048,32,0,8.753
0,2048,32,64,9.716
0,2048,32,128,9.739
0,2048,32,256,9.784
0,2048,32,512,9.814
0,2048,32,1024,9.948
0,2048,32,2048,10.928
0,2048,64,0,2.068
0,2048,64,64,15.975
0,2048,64,128,17.694
0,2048,64,256,17.705
0,2048,64,512,17.705
0,2048,64,1024,17.809
0,2048,64,2048,17.974
0,2048,128,0,2.06
0,2048,128,64,2.059
0,2048,128,128,32.377
0,2048,128,256,32.365
0,2048,128,512,32.319
0,2048,128,1024,32.334
0,2048,128,2048,32.563
0,2048,256,0,2.126
0,2048,256,64,2.122
0,2048,256,128,2.135
0,2048,256,256,60.716
0,2048,256,512,61.575
0,2048,256,1024,61.717
0,2048,256,2048,61.843
32,0,0,0,4.23
32,0,0,64,4.23
32,0,0,128,4.23
32,0,0,256,4.23
32,0,0,512,4.23
32,0,0,1024,4.23
32,0,0,2048,4.23
32,0,1,0,8.489
32,0,1,64,8.503
32,0,1,128,9.72
32,0,1,256,12.333
32,0,1,512,17.737
32,0,1,1024,28.437
32,0,1,2048,49.375
32,0,2,0,8.345
32,0,2,64,8.359
32,0,2,128,8.74
32,0,2,256,10.36
32,0,2,512,12.888
32,0,2,1024,18.12
32,0,2,2048,28.821
32,0,4,0,8.385
32,0,4,64,8.385
32,0,4,128,8.388
32,0,4,256,8.744
32,0,4,512,10.341
32,0,4,1024,12.904
32,0,4,2048,18.256
32,0,8,0,8.51
32,0,8,64,8.51
32,0,8,128,8.526
32,0,8,256,8.552
32,0,8,512,9.093
32,0,8,1024,10.389
32,0,8,2048,13.376
32,0,16,0,9.786
32,0,16,64,9.786
32,0,16,128,9.81
32,0,16,256,9.886
32,0,16,512,9.988
32,0,16,1024,10.317
32,0,16,2048,13.061
32,0,32,0,12.983
32,0,32,64,13.946
32,0,32,128,13.969
32,0,32,256,14.014
32,0,32,512,14.044
32,0,32,1024,14.178
32,0,32,2048,15.158
32,0,64,0,6.298
32,0,64,64,20.205
32,0,64,128,21.924
32,0,64,256,21.935
32,0,64,512,21.935
32,0,64,1024,22.039
32,0,64,2048,22.204
32,0,128,0,6.29
32,0,128,64,6.289
32,0,128,128,36.607
32,0,128,256,36.595
32,0,128,512,36.549
32,0,128,1024,36.564
32,0,128,2048,36.793
32,0,256,0,6.356
32,0,256,64,6.352
32,0,256,128,6.365
32,0,256,256,64.946
32,0,256,512,65.805
32,0,256,1024,65.947
32,0,256,2048,66.073
32,64,0,0,4.232
32,64,0,64,4.232
32,64,0,128,4.232
32,64,0,256,4.232
32,64,0,512,4.232
32,64,0,1024,4.232
32,64,0,2048,4.232
32,64,1,0,8.491
32,64,1,64,8.505
32,64,1,128,9.722
32,64,1,256,12.335
32,64,1,512,17.739
32,64,1,1024,28.439
32,64,1,2048,49.377
32,64,2,0,8.347
32,64,2,64,8.361
32,64,2,128,8.742
32,64,2,256,10.362
32,64,2,512,12.89
32,64,2,1024,18.122
32,64,2,2048,28.823
32,64,4,0,8.387
32,64,4,64,8.387
32,64,4,128,8.39
32,64,4,256,8.746
32,64,4,512,10.343
32,64,4,1024,12.906
32,64,4,2048,18.258
32,64,8,0,8.512
32,64,8,64,8.512
32,64,8,128,8.528
32,64,8,256,8.554
32,64,8,512,9.095
32,64,8,1024,10.391
32,64,8,2048,13.378
32,64,16,0,9.788
32,64,16,64,9.788
32,64,16,128,9.812
32,64,16,256,9.888
32,64,16,512,9.99
32,64,16,1024,10.319
32,64,16,2048,13.063
32,64,32,0,12.985
32,64,32,64,13.948
32,64,32,128,13.971
32,64,32,256,14.016
32,64,32,512,14.046
32,64,32,1024,14.18
32,64,32,2048,15.16
32,64,64,0,6.3
32,64,64,64,20.207
32,64,64,128,21.926
32,64,64,256,21.937
32,64,64,512,21.937
32,64,64,1024,22.041
32,64,64,2048,22.206
32,64,128,0,6.292
32,64,128,64,6.291
32,64,128,128,36.609
32,64,128,256,36.597
32,64,128,512,36.551
32,64,128,1024,36.566
32,64,128,2048,36.795
32,64,256,0,6.358
32,64,256,64,6.354
32,64,256,128,6.367
32,64,256,256,64.948
32,64,256,512,65.807
32,64,256,1024,65.949
32,64,256,2048,66.075
32,128,0,0,5.676
32,128,0,64,5.676
32,128,0,128,5.676
32,128,0,256,5.676
32,128,0,512,5.676
32,128,0,1024,5.676
32,128,0,2048,5.676
32,128,1,0,9.935
32,128,1,64,9.949
32,128,1,128,11.166
32,128,1,256,13.779
32,128,1,512,19.183
32,128,1,1024,29.883
32,128,1,2048,50.821
32,128,2,0,9.791
32,128,2,64,9.805
32,128,2,128,10.186
32,128,2,256,11.806
32,128,2,512,14.334
32,128,2,1024,19.566
32,128,2,2048,30.267
32,128,4,0,9.831
32,128,4,64,9.831
32,128,4,128,9.834
32,128,4,256,10.19
32,128,4,512,11.787
32,128,4,1024,14.35
32,128,4,2048,19.702
32,128,8,0,9.956
32,128,8,64,9.956
32,128,8,128,9.972
32,128,8,256,9.998
32,128,8,512,10.539
32,128,8,1024,11.835
32,128,8,2048,14.822
32,128,16,0,11.232
32,128,16,64,11.232
32,128,16,128,11.256
32,128,16,256,11.332
32,128,16,512,11.434
32,128,16,1024,11.763
32,128,16,2048,14.507
32,128,32,0,14.429
32,128,32,64,15.392
32,128,32,128,15.415
32,128,32,256,15.46
32,128,32,512,15.49
32,128,32,1024,15.624
32,128,32,2048,16.604
32,128,64,0,7.744
32,128,64,64,21.651
32,128,64,128,23.37
32,128,64,256,23.381
32,128,64,512,23.381
32,128,64,1024,23.485
32,128,64,2048,23.65
32,128,128,0,7.736
32,128,128,64,7.735
32,128,128,128,38.053
32,128,128,256,38.041
32,128,128,512,37.995
32,128,128,1024,38.01
32,128,128,2048,38.239
32,128,256,0,7.802
32,128,256,64,7.798
32,128,256,128,7.811
32,128,256,256,66.392
32,128,256,512,67.251
32,128,256,1024,67.393
32,128,256,2048,67.519
32,256,0,0,8.367
32,256,0,64,8.367
32,256,0,128,8.367
32,256,0,256,8.367
32,256,0,512,8.367
32,256,0,1024,8.367
32,256,0,2048,8.367
32,256,1,0,12.626
32,256,1,64,12.64
32,256,1,128,13.857
32,256,1,256,16.47
32,256,1,512,21.874
32,256,1,1024,32.574
32,256,1,2048,53.512
32,256,2,0,12.482
32,256,2,64,12.496
32,256,2,128,12.877
32,256,2,256,14.497
32,256,2,512,17.025
32,256,2,1024,22.257
32,256,2,2048,32.958
32,256,4,0,12.522
32,256,4,64,12.522
32,256,4,128,12.525
32,256,4,256,12.881
32,256,4,512,14.478
32,256,4,1024,17.041
32,256,4,2048,22.393
32,256,8,0,12.647
32,256,8,64,12.647
